# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
0  5.482962e-03  -1.317409e-03  -1.541570e-02  5.485385e-03  -1.319726e-03  -1.541983e-02  4.126898e-06
1  -6.653062e-03  1.268106e-03  1.648690e-02  -6.653529e-03  1.266705e-03  1.648993e-02  3.025535e-06
2  2.411620e-03  -2.162334e-04  -2.071490e-03  2.410660e-03  -2.177730e-04  -2.073248e-03  1.757310e-06
3  -1.504436e-03  -1.126636e-03  1.880236e-03  -1.501130e-03  -1.128169e-03  1.880277e-03  3.306516e-06
4  -9.526880e-04  -7.761722e-03  -1.719390e-02  -9.504513e-04  -7.763796e-03  -1.719165e-02  2.249157e-06
5  3.870676e-04  8.518419e-03  1.852879e-02  3.891996e-04  8.516409e-03  1.853272e-02  3.931808e-06
6  3.984549e-03  -9.223733e-03  -7.632620e-03  3.984846e-03  -9.222634e-03  -7.633239e-03  1.099041e-06
7  -2.710497e-03  9.615157e-03  6.533716e-03  -2.710364e-03  9.615487e-03  6.536119e-03  2.402601e-06
8  1.613648e-03  2.185564e-03  2.146550e-03  1.614178e-03  2.187146e-03  2.146944e-03  1.581990e-06
9  -1.554943e-03  -1.325205e-03  -1.505975e-03  -1.554814e-03  -1.326246e-03  -1.504694e-03  1.281052e-06
10  -3.655907e-03  -2.614489e-03  -9.961473e-04  -3.658447e-03  -2.615894e-03  -9.947398e-04  2.540304e-06
11  2.933948e-03  3.643253e-03  2.341221e-03  2.935919e-03  3.647055e-03  2.339522e-03  3.802410e-06
12  -3.326034e-02  1.941320e-02  3.159560e-03  -3.325853e-02  1.941121e-02  3.159698e-03  1.994284e-06
13  3.232320e-02  -2.028667e-02  -1.839295e-03  3.232381e-02  -2.028634e-02  -1.836283e-03  3.011548e-06
14  -1.987719e-03  -2.136460e-03  -3.786451e-03  -1.990712e-03  -2.137620e-03  -3.786890e-03  2.993164e-06
15  1.935789e-03  7.079628e-04  6.253193e-03  1.935523e-03  7.076069e-04  6.251962e-03  1.230815e-06
16  3.942771e-03  -1.343755e-03  8.429566e-03  3.949383e-03  -1.343946e-03  8.433413e-03  6.611721e-06
17  -6.344592e-03  2.841208e-05  -7.279457e-03  -6.343973e-03  2.642304e-05  -7.275547e-03  3.909636e-06
18  -9.561206e-04  -1.946574e-02  -6.707957e-02  -9.588937e-04  -1.946577e-02  -6.708644e-02  6.872627e-06
19  -5.866174e-04  1.951854e-02  6.777425e-02  -5.854003e-04  1.952081e-02  6.777416e-02  2.271105e-06
20  -1.892512e-02  -1.055395e-03  -1.987131e-02  -1.892661e-02  -1.055645e-03  -1.987179e-02  1.490409e-06
21  1.956384e-02  7.679745e-04  1.777096e-02  1.956411e-02  7.680012e-04  1.776942e-02  1.546256e-06
22  -1.919498e-02  2.379594e-03  2.717455e-02  -1.919629e-02  2.377791e-03  2.717882e-02  4.270014e-06
23  1.753769e-02  -7.994896e-04  -2.788023e-02  1.753975e-02  -8.012770e-04  -2.788325e-02  3.026426e-06
24  7.860471e-03  4.772284e-03  1.966711e-05  7.862559e-03  4.773123e-03  1.968834e-05  2.087616e-06
25  -7.225346e-03  -3.989752e-03  -1.776364e-03  -7.223447e-03  -3.989303e-03  -1.775754e-03  1.899785e-06
26  -1.173857e-02  2.290100e-03  -4.626922e-03  -1.173748e-02  2.290813e-03  -4.627598e-03  1.088042e-06
27  1.351111e-02  -3.980995e-03  3.689595e-03  1.351219e-02  -3.979312e-03  3.690034e-03  1.682996e-06
28  -2.173863e-02  -1.552253e-02  2.104351e-02  -2.174023e-02  -1.552207e-02  2.104244e-02  1.599566e-06
29  2.103312e-02  1.697965e-02  -2.129956e-02  2.103467e-02  1.697861e-02  -2.130040e-02  1.543651e-06
30  1.530455e-02  -7.806883e-03  2.036134e-02  1.530773e-02  -7.807077e-03  2.036324e-02  3.182730e-06
31  -1.400399e-02  7.194083e-03  -2.059150e-02  -1.400240e-02  7.194799e-03  -2.058856e-02  2.945091e-06
32  -4.655926e-03  9.286335e-03  3.624163e-04  -4.656652e-03  9.285549e-03  3.643909e-04  1.974649e-06
33  4.050228e-03  -8.044022e-03  8.900294e-04  4.048725e-03  -8.046065e-03  8.894862e-04  2.042472e-06
34  -6.717566e-04  7.400236e-03  -8.168051e-03  -6.735306e-04  7.397693e-03  -8.171723e-03  3.672499e-06
35  1.538832e-03  -8.788575e-03  7.923597e-03  1.541322e-03  -8.789039e-03  7.926403e-03  2.806138e-06
36  2.676558e-02  2.325482e-02  4.925450e-02  2.676713e-02  2.325847e-02  4.925590e-02  3.643927e-06
37  -2.706528e-02  -2.298860e-02  -4.926741e-02  -2.706553e-02  -2.298760e-02  -4.926839e-02  1.003485e-06
38  3.568544e-02  3.608666e-02  -9.366854e-03  3.568676e-02  3.609007e-02  -9.366651e-03  3.416872e-06
