# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
0  5.397893e-03  -1.402736e-03  -1.541628e-02  5.400090e-03  -1.405021e-03  -1.541983e-02  3.552150e-06
1  -6.567990e-03  1.353437e-03  1.648747e-02  -6.568235e-03  1.351999e-03  1.648993e-02  2.452166e-06
2  2.326385e-03  -3.015102e-04  -2.071678e-03  2.325365e-03  -3.030676e-04  -2.073248e-03  1.569301e-06
3  -1.419228e-03  -1.041357e-03  1.880420e-03  -1.415835e-03  -1.042874e-03  1.880277e-03  3.392694e-06
4  -1.037911e-03  -7.846079e-03  -1.719182e-02  -1.035746e-03  -7.849090e-03  -1.719165e-02  3.010821e-06
5  4.722925e-04  8.602795e-03  1.852671e-02  4.744942e-04  8.601704e-03  1.853272e-02  6.009356e-06
6  3.899372e-03  -9.309344e-03  -7.632872e-03  3.899552e-03  -9.307929e-03  -7.633239e-03  1.415640e-06
7  -2.625315e-03  9.700777e-03  6.533953e-03  -2.625069e-03  9.700782e-03  6.536119e-03  2.165750e-06
8  1.527551e-03  2.099735e-03  2.145480e-03  1.528884e-03  2.101851e-03  2.146944e-03  2.116071e-06
9  -1.468846e-03  -1.239378e-03  -1.504902e-03  -1.469520e-03  -1.240951e-03  -1.504694e-03  1.573557e-06
10  -3.741504e-03  -2.700011e-03  -9.963106e-04  -3.743742e-03  -2.701189e-03  -9.947398e-04  2.237640e-06
11  3.019545e-03  3.728768e-03  2.341383e-03  3.021214e-03  3.732350e-03  2.339522e-03  3.581493e-06
12  -3.394250e-02  1.975087e-02  3.205260e-03  -3.334383e-02  1.932591e-02  3.159698e-03  5.986756e-04
13  3.300537e-02  -2.062435e-02  -1.884983e-03  3.240911e-02  -2.020104e-02  -1.836283e-03  5.962652e-04
14  -2.071413e-03  -2.221481e-03  -3.785000e-03  -2.076007e-03  -2.222914e-03  -3.786890e-03  4.594489e-06
15  2.019460e-03  7.929470e-04  6.251791e-03  2.020817e-03  7.929015e-04  6.251962e-03  1.357813e-06
16  3.858800e-03  -1.429288e-03  8.431119e-03  3.864088e-03  -1.429241e-03  8.433413e-03  5.287695e-06
17  -6.260633e-03  1.139485e-04  -7.281012e-03  -6.258679e-03  1.117176e-04  -7.275547e-03  5.464721e-06
18  -1.041341e-03  -1.955259e-02  -6.708461e-02  -1.044188e-03  -1.955106e-02  -6.708644e-02  2.846831e-06
19  -5.013839e-04  1.960538e-02  6.777929e-02  -5.001057e-04  1.960610e-02  6.777416e-02  5.129431e-06
20  -1.900971e-02  -1.140684e-03  -1.987058e-02  -1.901191e-02  -1.140940e-03  -1.987179e-02  2.193014e-06
