# F(k,t) correlation function
# Reference time: 400.142 ps
# lag_time_ps	F(k,t)
0.000000	438.48719085
0.100000	13.92468613
0.200000	13.54680788
0.300000	37.31171738
0.400000	41.77907408
0.500000	58.19782297
0.600000	22.75115824
0.700000	18.18755984
0.800000	-32.95524358
0.900000	-9.57712597
1.000000	-41.00124695
1.100000	1.42677419
1.200000	-27.36725824
1.300000	-42.09923646
1.400000	-3.92458742
1.500000	-27.59910827
1.600000	-17.49727206
1.700000	10.66422646
1.800000	43.79165264
1.900000	50.46265990
2.000000	-7.73909221
2.100000	-44.82109934
2.200000	-7.46016155
2.300000	42.96856363
2.400000	3.38621109
2.500000	9.40077015
2.600000	23.56052911
2.700000	70.04682676
2.800000	42.74928813
2.900000	-88.18505483
3.000000	-142.27340178
3.100000	-76.84777051
3.200000	30.81426977
3.300000	0.53354776
3.400000	-36.22220742
3.500000	5.01893253
3.600000	-43.74212707
3.700000	-18.55394608
3.800000	-12.76076523
3.900000	-12.52535074
4.000000	29.78047551
4.100000	-14.07585257
4.200000	23.78309255
4.300000	36.17794879
4.400000	31.58866664
4.500000	52.08407351
4.600000	85.42902537
4.700000	-51.53135868
4.800000	-51.13523532
4.900000	-27.72992277
5.000000	12.09890622
5.100000	90.97822074
5.200000	-41.75838878
5.300000	22.63017805
5.400000	73.49406355
5.500000	57.62297343
5.600000	11.13486197
5.700000	6.87219052
5.800000	-74.50009620
5.900000	22.64268280
6.000000	-33.18188705
6.100000	-87.34890060
6.200000	-38.47728575
6.300000	-54.78317089
6.400000	-51.69468439
6.500000	-54.16182225
6.600000	52.73772796
6.700000	2.03305548
6.800000	0.84911523
6.900000	-47.08512807
7.000000	-42.17616956
7.100000	60.91502663
7.200000	0.65652481
7.300000	-85.49324267
7.400000	-52.45171877
7.500000	-13.24150756
7.600000	44.94186165
7.700000	-6.43220528
7.800000	11.62595028
7.900000	57.16340327
8.000000	-22.02169921
8.100000	74.23215785
8.200000	-58.76674935
8.300000	-13.65400443
8.400000	-46.69706475
8.500000	-55.63102595
8.600000	-7.12519624
8.700000	-43.82001773
8.800000	83.07960332
8.900000	-3.53250595
9.000000	-29.74390600
9.100000	12.39502474
9.200000	6.02141523
9.300000	-42.16131797
9.400000	-46.08126000
9.500000	-20.21349001
9.600000	-36.45421265
9.700000	-23.69095084
9.800000	36.83443175
9.900000	-9.32246175
10.000000	-3.07032046
10.100000	-7.36074160
10.200000	29.90156741
10.300000	45.65060727
10.400000	49.75138972
10.500000	-9.32292897
10.600001	1.21380643
10.700001	13.45015385
10.800001	-16.08110736
10.900001	42.80290305
11.000001	60.73808335
11.100001	44.60820143
11.200001	-31.11104508
11.300001	65.64086799
11.400001	44.26503031
11.500001	15.50844856
11.600001	11.61689660
11.700001	70.12433620
11.800001	-19.71061803
11.900001	-26.55074544
12.000001	54.71711104
12.100001	4.57162222
12.200001	61.46515195
12.300001	-39.23314382
12.400001	58.07694043
12.500001	76.66982386
12.600001	-38.40145124
12.700001	44.83700658
12.800001	19.98176727
12.900001	25.37791989
13.000001	-58.18815059
13.100001	-42.32993613
13.200001	15.13756266
13.300001	25.30600697
13.400001	-77.42850811
13.500001	-61.12475243
13.600001	-33.25587157
13.700001	-107.32011049
13.800001	39.78807431
13.900001	42.01374423
14.000001	55.07657809
14.100001	-8.71496644
14.200001	-4.59612709
14.300001	43.19590097
14.400001	-34.71862328
14.500001	97.56553017
14.600001	28.77183140
14.700001	-12.92861063
14.800001	-68.90863787
14.900001	-38.61465169
15.000001	61.22806088
15.100001	-13.03822730
15.200001	47.80555743
15.300001	41.79352200
15.400001	-34.77662536
15.500001	1.52177242
